Identity,Total Samples,Correct,Accuracy (%)
AbdullahGul,1,1,100.0
AdrienBrody,1,1,100.0
AlGore,1,1,100.0
AlSharpton,1,1,100.0
AlejandroToledo,1,1,100.0
AliNaimi,1,1,100.0
AlvaroUribe,1,1,100.0
AmeliaVega,1,1,100.0
AnaGuevara,1,1,100.0
AndreAgassi,1,1,100.0
AngelaBassett,1,1,100.0
AngelinaJolie,1,1,100.0
AnnaKournikova,1,1,100.0
AntonioPalocci,1,1,100.0
ArielSharon,1,1,100.0
ArminioFraga,1,1,100.0
ArnoldSchwarzenegger,1,1,100.0
AtalBihariVajpayee,1,1,100.0
BenAffleck,1,1,100.0
BillClinton,1,1,100.0
BillFrist,1,1,100.0
BillGraham,1,1,100.0
BillyCrystal,1,1,100.0
BinyaminBen-Eliezer,1,1,100.0
BobGraham,1,1,100.0
BobHope,1,1,100.0
BobStoops,1,1,100.0
BorisBecker,1,1,100.0
BulentEcevit,1,1,100.0
CalistaFlockhart,1,1,100.0
CameronDiaz,1,1,100.0
CarlosMenem,1,1,100.0
CarlosMoya,1,1,100.0
CatherineZeta-Jones,1,1,100.0
CelineDion,1,1,100.0
CesarGaviria,1,1,100.0
CharlesTaylor,1,1,100.0
CharltonHeston,1,1,100.0
ClayAiken,1,1,100.0
ClintEastwood,1,1,100.0
ColinFarrell,1,1,100.0
CondoleezzaRice,1,1,100.0
CostasSimitis,1,1,100.0
DavidBeckham,1,1,100.0
DavidNalbandian,1,1,100.0
DavidWells,1,1,100.0
DennisHastert,1,1,100.0
DianaKrall,1,1,100.0
DonaldRumsfeld,1,1,100.0
EdmundStoiber,1,1,100.0
EduardoDuhalde,1,1,100.0
EdwardLu,1,1,100.0
EltonJohn,1,1,100.0
FernandoGonzalez,1,1,100.0
FernandoHenriqueCardoso,1,1,100.0
GeoffHoon,1,1,100.0
GeorgeHWBush,1,1,100.0
GeorgeRobertson,1,1,100.0
GerhardSchroeder,1,1,100.0
GerryAdams,1,1,100.0
GloriaMacapagalArroyo,1,1,100.0
GoldieHawn,1,1,100.0
GonzaloSanchezdeLozada,1,1,100.0
GrayDavis,1,1,100.0
GuillermoCoria,1,1,100.0
GunterPleuger,1,1,100.0
GwynethPaltrow,1,1,100.0
HalleBerry,1,1,100.0
HansBlix,1,1,100.0
HeizoTakenaka,1,1,100.0
HillaryClinton,1,1,100.0
HollyHunter,1,1,100.0
HosniMubarak,1,0,0.0
HowardDean,1,1,100.0
HuJintao,1,1,100.0
HughGrant,1,1,100.0
HugoChavez,1,0,0.0
IgorIvanov,1,1,100.0
JKRowling,1,1,100.0
JackStraw,1,1,100.0
JackieChan,1,1,100.0
JacquesChirac,1,1,100.0
JacquesRogge,1,1,100.0
JamesBlake,1,1,100.0
JanUllrich,1,1,100.0
JasonKidd,1,1,100.0
JavierSolana,1,1,100.0
JayGarner,1,1,100.0
Jean-PierreRaffarin,1,1,100.0
JebBush,1,1,100.0
JelenaDokic,1,1,100.0
JenniferAniston,1,1,100.0
JenniferCapriati,1,1,100.0
JenniferGarner,1,1,100.0
JenniferLopez,1,1,100.0
JeongSe-hyun,1,1,100.0
JeremyGreenstock,1,0,0.0
JiangZemin,1,0,0.0
JimFuryk,1,1,100.0
JimmyCarter,1,1,100.0
JoanLaporta,1,1,100.0
JoeLieberman,1,1,100.0
JohnAbizaid,1,1,100.0
JohnAllenMuhammad,1,1,100.0
JohnBolton,1,0,0.0
JohnEdwards,1,1,100.0
JohnHoward,1,1,100.0
JohnKerry,1,1,100.0
JohnMcCain,1,1,100.0
JohnNegroponte,1,1,100.0
JohnTravolta,1,1,100.0
JonGruden,1,1,100.0
JonathanEdwards,1,1,100.0
JoschkaFischer,1,1,100.0
JoseManuelDuraoBarroso,1,1,100.0
JoseMariaAznar,1,1,100.0
JoseSerra,1,1,100.0
JuanCarlosFerrero,1,1,100.0
JulianneMoore,1,1,100.0
JulieGerberding,1,1,100.0
JunichiroKoizumi,1,0,0.0
JustinTimberlake,1,1,100.0
JustinePasek,1,1,100.0
KamalKharrazi,1,1,100.0
KateHudson,1,1,100.0
KimClijsters,1,1,100.0
KimDae-jung,1,0,0.0
KimRyong-sung,1,0,0.0
KofiAnnan,1,0,0.0
LanceArmstrong,1,1,100.0
LarryBrown,1,1,100.0
LeonardoDiCaprio,1,1,100.0
LeonidKuchma,1,1,100.0
LiPeng,1,0,0.0
LiZhaoxing,1,0,0.0
LindsayDavenport,1,1,100.0
LizaMinnelli,1,1,100.0
LleytonHewitt,1,1,100.0
LucioGutierrez,1,1,100.0
LuisErnestoDerbezBautista,1,1,100.0
LuisHorna,1,1,100.0
LuizInacioLuladaSilva,1,0,0.0
MahathirMohamad,1,1,100.0
MahmoudAbbas,1,1,100.0
MariaShriver,1,1,100.0
MarkPhilippoussis,1,1,100.0
MartinScorsese,1,1,100.0
MatthewPerry,1,1,100.0
MegawatiSukarnoputri,1,1,100.0
MerylStreep,1,1,100.0
MichaelBloomberg,1,1,100.0
MichaelChang,1,1,100.0
MichaelDouglas,1,1,100.0
MikeKrzyzewski,1,1,100.0
MikeMartz,1,1,100.0
MikeMyers,1,1,100.0
MikeWeir,1,1,100.0
MohammadKhatami,1,1,100.0
MonicaSeles,1,1,100.0
MuhammadAli,1,1,100.0
NajiSabri,1,1,100.0
NaomiWatts,1,1,100.0
NatalieCoughlin,1,1,100.0
NestorKirchner,1,1,100.0
NicanorDuarteFrutos,1,1,100.0
NicoleKidman,1,1,100.0
NorahJones,1,1,100.0
NormColeman,1,1,100.0
OscarDeLaHoya,1,1,100.0
ParadornSrichaphan,1,1,100.0
PaulBremer,1,0,0.0
PaulBurrell,1,1,100.0
PaulMartin,1,0,0.0
PaulWolfowitz,1,1,100.0
PedroAlmodovar,1,1,100.0
PervezMusharraf,1,1,100.0
PeteSampras,1,1,100.0
PierceBrosnan,1,1,100.0
QueenElizabethII,1,1,100.0
RalfSchumacher,1,1,100.0
RayRomano,1,1,100.0
RecepTayyipErdogan,1,1,100.0
